image_lien,label,family,phylum,species,canonicalName,class,genus,order,width,height,red_color_mean,green_color_mean,blue_color_mean,all_color_mean
1423.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,214,82.52726343457944,81.67226927570094,77.12425525700935,80.44126265576324
1424.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,204,125.6171875,106.95718443627452,84.56380208333333,105.71272467320262
1539.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,53.644817708333335,38.15930989583333,38.68359375,43.49590711805556
1550.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,92.99936197916666,67.48631510416666,53.05712239583333,71.18093315972222
1581.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,140.1409765625,118.76170572916666,102.83696614583332,120.5798828125
1655.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,246,320,208.6993775406504,207.3820757113821,198.87248475609755,204.98464600271004
1613.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,231,243.5375405844156,243.2914231601732,243.87551406926409,243.56815927128423
1627.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,125.85962239583333,111.50985677083334,102.43944010416666,113.26963975694446
1634.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,81.66463541666667,81.36192708333333,74.42170572916666,79.14942274305555
1705.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,120.98123697916668,99.46953125,90.64591145833332,103.69889322916669
1706.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,93.73157552083332,71.9294921875,70.45782552083334,78.70629774305557
1726.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,144.2921484375,122.73466145833332,98.1949609375,121.7405902777778
1737.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,131.2327083333333,112.79119791666666,106.07203125,116.69864583333332
1857.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,123.541953125,90.90907552083333,90.4938671875,101.64829861111112
2024.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,228,91.25507127192982,87.46739309210527,79.93595120614034,86.21947185672514
2025.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,228,178.58966557017544,167.72038103070176,137.52021655701753,161.2767543859649
2026.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,249,182.02606676706827,162.54159136546184,128.032078313253,157.5332454819277
2062.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,303,202.34543110561057,193.26484117161715,187.8414294554456,194.48390057755776
2063.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,304,320,220.9158408717105,211.7912623355263,197.73158922697368,210.1462308114035
1912.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,115.8740625,76.4759765625,72.42440104166667,88.2581467013889
1969.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,107.15307291666667,91.75247395833334,85.74713541666667,94.88422743055555
1970.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,109.4787109375,88.1298828125,82.03838541666667,93.21565972222224
1976.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,73.21739583333333,59.21190104166666,45.32473958333333,59.2513454861111
2006.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,240,82.35600260416666,59.044453125,52.70790364583333,64.70278645833334
2007.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,240,81.6760546875,67.90453125,61.07790364583333,70.21949652777778
2011.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,97.51361979166668,83.49541666666667,63.81759114583333,81.60887586805556
2042.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,108.70475260416669,97.70927083333332,90.7043359375,99.039453125
2044.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,171.20020833333334,147.08962239583337,140.08924479166666,152.7930251736111
2108.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,240,320,74.80559895833333,75.13166666666666,62.61709635416667,70.85145399305556
2109.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,320,240,165.04654947916666,141.5844140625,102.54169270833331,136.3908854166667
2121.jpg,Galerina marginata,Cortinariaceae,Basidiomycota,Galerina marginata,Galerina marginata,Agaricomycetes,Galerina,Agaricales,320,240,145.2541015625,115.0509765625,111.41022135416668,123.90509982638888
2122.jpg,Galerina marginata,Cortinariaceae,Basidiomycota,Galerina marginata,Galerina marginata,Agaricomycetes,Galerina,Agaricales,320,240,92.72473958333332,58.074908854166665,32.49946614583333,61.09970486111112
2128.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,89.26953125,62.35916666666667,54.2778515625,68.63551649305556
2129.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,77.0271875,54.044010416666666,37.83125,56.30081597222223
2140.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,240,94.72078125,67.25936197916667,58.41313802083334,73.46442708333335
2145.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,143.44501302083333,95.26430989583334,80.18341145833334,106.29757812500002
2210.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,111.70625,99.46786458333334,94.1837109375,101.78594184027776
2211.jpg,Pleurotus ostreatus,Pleurotaceae,Basidiomycota,Pleurotus ostreatus,Pleurotus ostreatus,Agaricomycetes,Pleurotus,Agaricales,320,240,101.96712239583331,98.83529947916666,87.73252604166667,96.17831597222222
2199.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,240,91.28110677083332,71.4191015625,64.37119791666667,75.69046875
2198.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,240,112.54471354166668,101.94416666666666,93.5642578125,102.68437934027776
2287.jpg,Galerina marginata,Cortinariaceae,Basidiomycota,Galerina marginata,Galerina marginata,Agaricomycetes,Galerina,Agaricales,320,216,214.7515480324074,204.7927662037037,196.0916811342593,205.21199845679016
2315.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,239,83.7314330543933,81.07228033472803,77.75303347280335,80.8522489539749
2316.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,320,265,87.56391509433962,81.503125,77.68948113207547,82.25217374213837
2317.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,297,320,223.377861952862,219.427377946128,211.30982744107743,218.03835578002244
2318.jpg,Pluteus cervinus,Pluteaceae,Basidiomycota,Pluteus cervinus,Pluteus cervinus,Agaricomycetes,Pluteus,Agaricales,270,320,218.1995138888889,210.20994212962964,196.53540509259253,208.3149537037037
2417.jpg,Hypholoma fasciculare,Strophariaceae,Basidiomycota,Hypholoma fasciculare,Hypholoma fasciculare,Agaricomycetes,Hypholoma,Agaricales,320,309,54.21199433656958,53.789815938511325,45.809718851132686,51.27050970873787
2387.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,287,84.86992595818815,74.6090918989547,69.62877831010454,76.36926538908246
2388.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,238,72.81641281512606,72.3296875,70.88948266806723,72.01186099439776
2389.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,281,57.40205738434164,57.32032918149466,59.12165258007118,57.94801304863583
2390.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,268,320,204.5862639925373,201.69858908582088,199.59823927238807,201.9610307835821
2391.jpg,Clitocybe nuda,Tricholomataceae,Basidiomycota,Lepista nuda,Clitocybe nuda,Agaricomycetes,Lepista,Agaricales,320,294,197.22400085034013,193.5039221938776,190.6413159013605,193.7897463151928
2590.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,127.0812109375,120.27701822916669,113.13252604166668,120.16358506944444
2608.jpg,Boletus edulis,Boletaceae,Basidiomycota,Boletus edulis,Boletus edulis,Agaricomycetes,Boletus,Boletales,249,320,113.2699171686747,85.42179969879518,86.72004267068273,95.13725317938422
2673.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,240,84.01915364583333,88.89162760416667,90.3456640625,87.75214843750001
2676.jpg,Ganoderma applanatum,Ganodermataceae,Basidiomycota,Ganoderma applanatum,Ganoderma applanatum,Agaricomycetes,Ganoderma,Polyporales,214,320,115.65115362149533,93.6675671728972,62.19069801401869,90.50313960280371
2729.jpg,Galerina marginata,Cortinariaceae,Basidiomycota,Galerina marginata,Galerina marginata,Agaricomycetes,Galerina,Agaricales,302,320,220.76585264900663,215.91213783112585,208.9296357615894,215.20254208057395
2796.jpg,Trametes versicolor,Polyporaceae,Basidiomycota,Trametes versicolor,Trametes versicolor,Agaricomycetes,Trametes,Polyporales,320,249,206.01378012048195,201.86627761044176,191.1680220883534,199.68269327309235
